,sulfur_content,x13,x24,x25,x26,x32,x35,x36,x37,x41,x53,x76,x95,x96,x107,x135,x158,x170,x175,x186,x195,x202,x207,x257,x275,x282,x295,x306,x351,x352
0,188.0,0.0,1458.3399500000005,0.0,1813.5618,476.20844500000004,397.2652,390.00821,5361.626450000002,97.2439995,7206.6007,272.3679849999999,5166.9914,1173706.0,117.51448500000001,19.2343975,-0.379636755,335411.90000000014,485.56608715,130.35825,13796.437,-1133.4096,-0.392189775,1098.74409,54.49297899999999,20.032678500000006,325.3817100000001,2564.26335,39063124.5,1840.1447
1,168.99999999999997,0.0,1142.1792000000005,0.0,1860.659,453.687235,398.99598,392.142255,5394.2922,100.028165,7231.788200000001,281.07271000000003,5038.2905,1173706.0,110.81904,45.73449,-0.37925307,335411.90000000014,350.41715985,139.99247000000003,11375.476,-1132.4024,-1.20427095,791.3145149999997,55.21639150000001,23.97952200000001,328.079975,2277.3611,38810581.5,1641.7326
2,177.0,0.0,1025.87479,0.0,1915.38625,454.13805999999994,402.39463,395.39469500000007,5349.3917999999985,98.51614599999998,7232.84225,272.92432999999994,4999.532800000001,1173706.0,119.95493500000002,46.06683265,-0.37996487,335411.90000000014,368.2236085,139.87808,7960.742849999998,-1150.0255000000002,-0.0018926729999999945,1128.47465,52.357551,20.958195,324.8368900000001,2117.8924999999995,38693812.0,1600.67575
3,159.0,0.0,967.85234,0.0,1896.60365,467.95171999999985,398.36981000000003,391.422635,5342.503300000001,99.27766649999998,7233.5848499999975,269.141545,4929.716050000001,1173706.0,119.29246499999999,10.6806845,-0.38038191,335411.90000000014,437.96190690000014,127.938755,9110.980200000002,-1174.5420499999998,-7.680779249999998,670.4601650000002,54.50599799999999,22.471918,317.15280999999993,2078.10855,38410862.5,1563.7121499999994
4,173.0,0.0,932.608515,0.0,1915.15845,470.47051000000016,398.89097000000004,391.664825,5208.639349999999,98.592974,7230.08205,267.03338999999994,4888.039800000001,1173706.0,110.94207,79.310171,-0.3793753349999999,335411.90000000014,376.0375085,128.254285,8756.69615,-1188.82275,-0.776367295,1079.454895,54.244836,21.4725525,324.3800700000001,2057.8499499999994,38283000.0,1554.3574
5,162.99999999999997,0.0,861.8165300000003,0.0,1295.7642,454.81519999999983,400.513185,392.993985,4926.6344,102.3195215,7225.799600000001,279.29904500000004,4795.118599999999,1173706.0,120.3151,148.2667905,-0.3790528050000001,335411.90000000014,317.293773,155.63008000000005,9186.771949999997,-1181.2321,-7.7000261,1277.7720800000004,54.659166000000006,20.566766000000005,319.393825,1940.6934,37948102.0,1419.57265
6,209.0,0.0,796.45138,0.0,1327.6360499999996,455.23862,398.505235,390.99462000000005,4916.36325,102.3450955,7227.960299999999,278.48501,4735.82845,1173706.0,109.30009,121.38074950000001,-0.379330915,335411.90000000014,255.85606800000002,144.24951,6280.77865,-1162.7644999999998,-7.7248365,1276.7489300000002,54.223119,20.9685215,324.47007,1863.9409500000006,37811191.5,1419.06425
7,195.0,0.0,1080.4544500000004,0.0,1126.2338499999996,457.54292999999996,395.542725,389.743035,4725.241099999998,99.60396949999999,7233.222600000001,290.66771000000006,4676.544999999999,1173706.0,123.46829,51.6547104,-0.37894714,335411.90000000014,357.139174,159.49689500000005,15596.7595,-1149.1401500000004,0.6034667734999999,1149.1802550000002,60.2185605,21.8329035,323.88765,2229.6758,37497132.5,1268.21285
8,165.0,0.0,1243.9263500000004,0.0,1265.68075,457.54292999999996,393.61722,388.2235749999999,4804.6154000000015,100.8372965,7231.903499999998,280.07422,4663.004,1173706.0,113.187755,49.49889284999999,-0.378591205,335411.90000000014,229.3668040000001,155.76041,13670.303999999998,-1186.25355,-3.81363267,1365.86489,56.816516,18.061818,320.551125,2334.824749999999,37438622.5,1326.7278
9,159.0,0.0,1221.26315,0.0,1019.19925,449.79312,394.214475,388.324,4854.6814,102.1238625,7226.361899999999,282.6794099999999,4652.5924,1173706.0,126.06576000000004,88.0548245,-0.378802535,335411.90000000014,484.0271695,170.58676999999997,17662.749,-1202.9915,-5.157976699999999,1283.7907,57.507288,14.990058,321.8369899999999,2434.024000000001,37375561.0,1279.70375
